Team,Season,gameId,OpposingTeam,gameDate,home_or_away,situation,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,blockedShotAttemptsFor,goalsFor,savedShotsOnGoalFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,xGoalsAgainst,shotsOnGoalAgainst,blockedShotAttemptsAgainst,goalsAgainst,savedShotsOnGoalAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,powerPlayxGoalsFor,powerPlayxGoalsAgainst,shortHandedxGoalsAgainst,otherxGoalsFor,otherxGoalsAgainst,shortHandedxGoalsFor,fiveOnFivexGoalsFor,fiveOnFivexGoalsAgainst,fiveOnfiveFenwickPercentage,fiveOnfiveCorsiPercentage,last_10_avg_xgoals_for,last_10_avg_xgoals_against,result,home_away,last_10_avg_goals_for,last_10_avg_goals_against,opp_last_10_goals_for,opp_last_10_goals_against,opp_last_10_xgoals_against,opp_last_10_xgoals_for
NYR,2022,2022020003,TBL,20221011,HOME,all,0.6068,0.5904,5.589,39,22,3,36,12,30,24,19,17,26,14,9,1.008,1.556,3.025,1,2,0,2.754,26,12,1,25,8,17,19,8,15,24,6,4,0.635,0.757,1.362,0,0,1,2.23,0,0.088,0.875,1.387,0.372,2.112,1.279,0.5556,0.5556,,,1,1,,,,,,
NYR,2022,2022020017,MIN,20221013,AWAY,all,0.4655,0.4556,3.165,35,13,7,28,17,29,27,4,1,29,9,3,0.641,1.088,1.436,1,3,3,4.457,36,13,3,33,19,29,20,9,6,30,13,6,1.092,1.703,1.662,0,2,1,0.886,0.148,0.892,0.61,1.59,0.016,1.653,1.827,0.5,0.5,5.589,2.754,1,0,3,1,,,,
NYR,2022,2022020023,WPG,20221014,AWAY,all,0.5185,0.5481,2.814,41,13,1,40,6,28,25,3,20,46,10,1,1.318,1.288,0.208,1,0,0,4.221,34,18,4,30,4,29,28,12,17,30,14,3,1.191,1.633,1.397,1,2,1,0.13,0,0.479,0.367,1.082,0.06,2.257,2.66,0.5366,0.5366,4.377000000000001,3.6055,0,0,5,2,,,,
NYR,2022,2022020039,ANA,20221017,HOME,all,0.6481,0.6988,3.741,43,12,6,37,2,30,27,5,5,41,15,2,1.413,1.795,0.533,1,5,0,1.628,22,13,4,18,8,28,17,4,10,17,6,2,0.536,0.593,0.499,3,0,1,1.106,0.01,0.023,0,0,0.034,2.6,1.596,0.6765,0.6765,3.8560000000000003,3.8106666666666666,1,1,3.6666666666666665,2.6666666666666665,3,5.5,4.449,2.3724999999999996
NYR,2022,2022020064,SJS,20221020,HOME,all,0.5,0.5432,2.97,23,11,2,21,6,24,33,5,8,31,10,3,1.134,1.138,0.698,2,0,0,3.12,27,18,3,24,10,33,19,5,6,27,7,3,0.838,0.899,1.384,1,1,1,0.85,0,0.947,0,0.506,0,2.12,1.668,0.5397,0.5397,3.8272500000000003,3.265,0,1,4.25,3,1.6,3.8,3.118,2.5904
NYR,2022,2022020089,CBJ,20221023,HOME,all,0.625,0.6282,2.571,31,21,1,30,2,34,26,5,10,38,11,0,1.374,1.198,0,0,1,0,1.953,21,13,5,16,6,17,15,9,6,22,4,3,0.747,0.592,0.613,3,2,0,0.372,0.012,0.009,0.424,0,0.05,1.726,1.932,0.5781,0.5781,3.6558,3.2359999999999998,0,1,3.8,3,2.8333333333333335,4.333333333333333,3.16,2.8516666666666666
NYR,2022,2022020099,COL,20221025,HOME,all,0.529,0.5545,4.176,46,12,2,44,6,35,39,5,11,45,13,3,1.323,1.59,1.264,0,1,1,4.204,44,16,2,42,8,27,24,5,3,34,11,4,0.889,1.129,2.186,0,1,1,1.825,0.116,1.74,0.506,0.094,0,1.844,2.253,0.519,0.519,3.475,3.0221666666666667,0,1,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.1666666666666665,2.9506666666666668,3.0378333333333334
NYR,2022,2022020108,NYI,20221026,AWAY,all,0.5714,0.5833,3.384,41,16,0,41,6,24,43,4,15,44,8,4,1.046,0.989,1.349,0,0,0,2.71,29,14,3,26,6,25,35,10,10,27,12,1,0.999,1.469,0.242,1,2,0,0.103,0.056,0.52,0,0,0.01,3.27,2.133,0.5844,0.5844,3.575142857142857,3.191,0,0,3.142857142857143,3.142857142857143,3.1666666666666665,3,3.4755000000000003,3.5595
NYR,2022,2022020127,DAL,20221029,AWAY,all,0.5085,0.5059,4.123,27,17,6,21,12,28,18,8,8,28,9,6,0.702,1.028,2.393,2,1,3,2.462,33,16,3,30,14,24,13,5,5,31,9,2,0.833,1.108,0.521,2,0,1,1.365,0.426,0.37,0.417,0.096,0,2.341,1.57,0.5303,0.5303,3.55125,3.130875,1,0,2.75,3.125,3.125,1.875,3.35925,3.599125
NYR,2022,2022020141,ARI,20221030,AWAY,all,0.58,0.622,3.981,39,7,3,36,2,31,34,5,9,40,8,3,1.235,1.135,1.612,1,1,1,2.213,20,11,2,18,6,26,27,3,11,19,11,1,0.611,1.379,0.222,0,2,0,0.702,0,0.133,0.737,0,0,2.542,2.08,0.5714,0.5714,3.614777777777778,3.0565555555555557,1,0,3.111111111111111,3.111111111111111,3,4.571428571428571,4.277428571428572,2.262857142857143
